id,titre,titre_original,annee_sortie,note,genre,pays_production,realisateur,description,duree_minutes
F142,The Fundamentals of Caring,The Fundamentals of Caring,2016,7.3,Comédie,États-Unis,Rob Burnett,"In this inspirational buddy comedy, a young shut-in and his caregiver take a road trip in search of landmarks, but end up finding hope and friendship.",97
F143,The Christmas Chronicles,The Christmas Chronicles,2018,7.0,Comédie,États-Unis,Clay Kaytis,"After accidentally crashing Santa's sleigh, a brother and sister pull an all-nighter to save Christmas with a savvy, straight-talking St. Nick.",104
F144,Dil Chahta Hai,Dil Chahta Hai,2001,8.1,Romance,Inde,Farhan Akhtar,"Inseparable childhood friends Akash, Sameer and Siddharth are just out of college. Nothing comes between them – until they each fall in love.",184
F145,Scary Movie 5,Scary Movie 5,2013,3.5,Comédie,États-Unis,Malcolm D. Lee,"Taking aim at not only the horror genre but also films like ""Black Swan"" and ""Inception,"" ""Scary Movie 5"" widens the franchise's scope of mockery.",89
F146,Outlaw King,Outlaw King,2018,6.9,Action,Royaume-Uni,David Mackenzie,"In 14th-century Scotland, Robert the Bruce claims the crown and leads a fierce uprising to win back the country's independence from English rule.",121
F147,The Blue Lagoon,The Blue Lagoon,1980,5.8,Romance,États-Unis,Randal Kleiser,"Two shipwrecked children, stranded for years on a deserted island, fall in love as teenagers and attempt to forge a life in the isolated paradise.",104
F148,Mr. Peabody & Sherman,Mr. Peabody & Sherman,2014,6.8,Action,États-Unis,Rob Minkoff,"Resurrected from the 1960s animated series ""Rocky and Bullwinkle,"" canine genius Mr. Peabody and young Sherman take a dizzying ride through time.",92
F149,Kal Ho Naa Ho,Kal Ho Naa Ho,2003,7.9,Drame,Inde,Nikkhil Advani,An uptight MBA student falls for the charismatic new neighbor who charms her troubled family – but he has a secret that forces him to push her away.,186
F150,The November Man,The November Man,2014,6.2,Thriller,États-Unis,Roger Donaldson,"An ex-CIA agent emerges from retirement to protect an important witness, but he soon discovers that old friends can make the most dangerous enemies.",108
F151,The Net,The Net,1995,5.9,Thriller,États-Unis,Irwin Winkler,"A computer analyst becomes a target after she stumbles onto a conspiracy via a mysterious floppy disk, forcing her to go on the run to clear her name.",114
F152,Queen,Queen,2014,8.1,Comédie,Inde,Vikas Bahl,"Dumped by her fiancé, a sheltered young woman decides to go on her honeymoon to Europe alone, embarking on an exhilarating journey of self-discovery.",146
F153,Five Feet Apart,Five Feet Apart,2019,7.2,Romance,États-Unis,Justin Baldoni,A teen with cystic fibrosis shakes up her daily routine and challenges hospital protocol when she falls for a fellow patient.,116
F154,Holidate,Holidate,2020,6.1,Romance,États-Unis,John Whitesell,"Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way.",104
F155,The Frozen Ground,The Frozen Ground,2013,6.4,Thriller,États-Unis,Scott Walker,"In this fact-based thriller, an Alaska state trooper pursuing a serial killer teams with a 17-year-old-prostitute who escaped the predator's clutches.",105
F156,1922,1922,2017,6.2,Horreur,États-Unis,Zak Hilditch,"A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella.",101
F157,Takers,Takers,2010,6.2,Action,États-Unis,John Luessenhop,An elite crew of bank robbers sets up a daring heist after a former associate persuades them to target an armored car that could be their biggest score.,107
F158,G.O.R.A,G.O.R.A,2004,8.0,Action,Turquie,Ömer Faruk Sorak,"Carpet dealer and UFO photo forger Arif is abducted by aliens. On the planet Gora, he helps friends escape from a meteorite strike and find freedom.",127
F159,Mowgli: Legend of the Jungle,Mowgli: Legend of the Jungle,2018,6.5,Action,Royaume-Uni,Andy Serkis,An orphaned boy raised by animals in the jungle seizes his destiny while confronting a dangerous enemy – and his own human origins.,105
F160,Velvet Buzzsaw,Velvet Buzzsaw,2019,5.7,Thriller,États-Unis,Dan Gilroy,"A feared critic, an icy gallery owner and an ambitious assistant snap up a recently deceased artist's stash of paintings – with dire consequences.",113
F161,Dolemite Is My Name,Dolemite Is My Name,2019,7.2,Drame,États-Unis,Craig Brewer,"In 1970s LA, struggling comedian Rudy Ray Moore hits it big with his raunchy alter ego, Dolemite, then risks it all to take his act to the big screen.",118
F162,Kate,Kate,2021,6.2,Action,États-Unis,Cedric Nicolas-Troyan,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",106
F163,The White Tiger,The White Tiger,2021,7.1,Drame,Inde,Ramin Bahrani,The ambitious driver for a rich Indian family uses his wit and cunning to escape from poverty and become an entrepreneur. Based on the bestselling novel.,125
F164,Spectral,Spectral,2016,6.3,Thriller,États-Unis,Nic Mathieu,"When an otherworldly force wreaks havoc on a war-torn European city, an engineer teams up with an elite Special Ops unit to stop it.",109
F165,The Sweetest Thing,The Sweetest Thing,2002,5.1,Comédie,États-Unis,Roger Kumble,"After meeting her potential soul mate, a commitment-averse young woman hits the road with her best friend on a wild, raunchy misadventure to find him.",84
F166,Arthur Christmas,Arthur Christmas,2011,7.1,Drame,Royaume-Uni,Sarah Smith,"At Santa Claus's super-secret toy-making facility, Mr. Claus entrusts his son, Arthur, to carry out an ultra-important Christmas mission.",97
F167,Rumor Has It,Rumor Has It,2005,5.5,Romance,États-Unis,Rob Reiner,"When Sarah travels to California for her sister's wedding, she hears a rumor that her family was the real-life inspiration for ""The Graduate.""",97
F168,Batman: The Killing Joke,Batman: The Killing Joke,2016,6.4,Animation,États-Unis,Sam Liu,The Joker makes life hell for the Gordon family in a monstrous attempt to prove to Batman that one bad day can drive a good man to madness.,76
F169,MR. RIGHT,MR. RIGHT,2015,6.3,Action,États-Unis,Paco Cabezas,"Fresh off a bad relationship, thrill-seeking Martha finds romance and danger with Francis, a hit man who's decided to turn the tables on his clients.",90
F170,Adrift,Adrift,2018,6.6,Action,Hong Kong,Baltasar Kormákur,A young couple’s sailing adventure becomes a fight to survive when their yacht faces a catastrophic hurricane in this story based on true events.,96
F171,I Don't Feel at Home in This World Anymore,I Don't Feel at Home in This World Anymore,2017,6.9,Drame,États-Unis,Macon Blair,A timid nursing assistant gets a new lease on life when she and a neighborhood loner track down the degenerates who broke into her house.,93
F172,In the Tall Grass,In the Tall Grass,2019,5.4,Drame,Canada,Vincenzo Natali,"After hearing a boy's cry for help, a pregnant woman and her brother wade into a vast field of grass, only to discover there may be no way out.",102
F173,Who Am I,Who Am I,2014,7.5,Thriller,Allemagne,Baran bo Odar,"After his compatriots are murdered by Russian gangsters, a hacker confesses the history of his elite, fame-seeking group to a Europol investigator.",105
F174,Ip Man 3,Ip Man 3,2015,7.0,Action,Chine,Wilson Yip,"Martial arts master Ip springs into action when his son's school is threatened by a shady American, then defends his status as wing chun champion.",105
F175,Haider,Haider,2014,8.1,Action,Inde,Vishal Bhardwaj,Shahid Kapoor delivers a searing performance in this Bollywood take on Hamlet that unfolds amid Kashmiri culture and history.,150
F176,Walk of Shame,Walk of Shame,2014,6.0,Comédie,États-Unis,Steve Brill,"After a night of boozy carousing, a local newscaster finds herself stranded on the streets of LA just hours before the job interview of a lifetime.",95
F177,Sinister 2,Sinister 2,2015,5.3,Horreur,États-Unis,Ciarán Foy,"A single mother and her twin sons move into a rural house, unaware of its history of being inhabited by an evil spirit that preys upon young children.",97
F178,Ava,Ava,2020,5.4,Thriller,États-Unis,Tate Taylor,An elite assassin wrestling with doubts about her work scrambles to protect herself — and her estranged family — after a hit goes dangerously wrong.,96
F179,Stuart Little 2,Stuart Little 2,2002,5.5,Animation,États-Unis,Rob Minkoff,"Zany misadventures are in store as lovable city mouse Stuart and his human brother, George, raise the roof in this sequel to the 1999 blockbuster.",78
F180,Mirage,Mirage,2018,7.4,Fantastique,Espagne,Oriol Paulo,"A space-time continuum glitch allows Vera to save a boy's life 25 years earlier, but results in the loss of her daughter, whom she fights to get back.",129
F181,Chennai Express,Chennai Express,2013,6.0,Romance,Inde,Rohit Shetty,What could have been a sad journey turns joyful for Rahul when he falls in love with a woman en route to submerging his grandfather's ashes.,141
F182,After,After,2019,5.2,Drame,États-Unis,Jenny Gage,"Wholesome college freshman Tessa Young thinks she knows what she wants out of life, until she crosses paths with complicated bad boy Hardin Scott.",102
F183,Creep,Creep,2014,6.3,Horreur,États-Unis,Patrick Brice,"When a cash-strapped videographer takes a job in a remote mountain town, he finds that the client has some unsettling ideas in mind.",82
F184,Circle,Circle,2015,6.0,Thriller,États-Unis,Aaron Hann,"When a group of strangers is seized and awaits execution, they face the impossible task of choosing the one person among them worthy of being spared.",87
F185,My Octopus Teacher,My Octopus Teacher,2020,8.1,Documentaire,Afrique du Sud,Pippa Ehrlich,"A filmmaker forges an unusual friendship with an octopus living in a South African kelp forest, learning as the animal shares the mysteries of her world.",84
F186,Don 2,Don 2,2011,7.0,Action,Inde,Farhan Akhtar,"With Asia under his complete control, criminal mastermind Don turns to Europe, battling the mob bosses of each nation along the way.",139
F187,How It Ends,How It Ends,2018,5.0,Science-Fiction,États-Unis,David M. Rosenthal,"When a mysterious disaster turns the country into a war zone, a young lawyer heads west with his future father-in-law to find his pregnant fiancée.",113
F188,The Space Between Us,The Space Between Us,2016,6.4,Drame,États-Unis,Peter Chelsom,"After years of limited contact with Earth, an inquisitive teen who lives on Mars makes an interplanetary trek to discover his own origins.",121
F189,Extinction,Extinction,2018,5.8,Science-Fiction,États-Unis,Ben Young,"Plagued by dreams of an alien invasion, a family man faces his worst nightmare when an extraterrestrial force begins exterminating Earth's inhabitants.",96
F190,Jab We Met,Jab We Met,2007,7.9,Romance,Inde,Imtiaz Ali,Changing fortunes await a wealthy but dejected industrialist when he meets a spirited chatterbox on a train in this breezy Bollywood romantic comedy.,144
F191,Sanju,Sanju,2018,7.7,Drame,Inde,Rajkumar Hirani,"From the depths of addiction to the heights of stardom to underworld entanglements, this biopic traces the checkered past of Indian actor Sanjay Dutt.",159
F192,In the Shadow of the Moon,In the Shadow of the Moon,2019,6.2,Science-Fiction,États-Unis,Jim Mickle,A Philadelphia detective slowly unravels as he nurses a lifelong obsession with an enigmatic female serial killer whose crimes defy explanation.,115
F193,Kuch Kuch Hota Hai,Kuch Kuch Hota Hai,1998,7.6,Romance,Inde,Karan Johar,"Per her mother’s last wish, a girl sets out to reunite her father with the college best friend who loved him – only to discover the woman is engaged.",185
F194,Apostle,Apostle,2018,6.3,Thriller,Royaume-Uni,Gareth Evans,"In 1905, a drifter on a dangerous mission to rescue his kidnapped sister tangles with a sinister religious cult on an isolated island.",130
F195,Set It Up,Set It Up,2018,6.5,Romance,États-Unis,Claire Scanlon,"In desperate need of a break from the office, two beleaguered assistants team up to trick their workaholic bosses into falling in love.",105
F196,Ma Rainey's Black Bottom,Ma Rainey's Black Bottom,2020,6.9,Drame,États-Unis,George C. Wolfe,"Tensions and temperatures rise at a Chicago music studio in 1927 when fiery, fearless blues singer Ma Rainey joins her band for a recording session.",94
F197,Wyatt Earp,Wyatt Earp,1994,6.7,Action,États-Unis,Lawrence Kasdan,"Legendary lawman Wyatt Earp is continually at odds with a gang of renegade cowboys, culminating in a fiery showdown with the outlaws at the OK Corral.",191
F198,The Guns of Navarone,The Guns of Navarone,1961,7.5,Action,Royaume-Uni,J. Lee Thompson,"During World War II, British forces launch an attack designed to take out the massive Nazi cannons that guard a critical sea channel.",158
F199,Da 5 Bloods,Da 5 Bloods,2020,6.5,Guerre,États-Unis,Spike Lee,Four African American veterans return to Vietnam decades after the war to find their squad leader's remains — and a stash of buried gold. From Spike Lee.,156
F200,Death at a Funeral,Death at a Funeral,2010,5.7,Comédie,États-Unis,Neil LaBute,"When a Los Angeles family's patriarch dies, his dutiful eldest son plans the funeral – which becomes a fiasco thanks to a colorful cast of attendees.",92
