"id","type","titre","annee","note","genre","pays","realisateur","duree","nb_saisons","nb_episodes","statut","description","titre_original"
"MED-134","FILM","Judd Apatow: The Return",2017,6.2,"COMEDIE","États-Unis","Laura Thompson",69,"","","","Un film comedie qui suit une jeune femme qui decouvre un lourd secret dans une histoire pleine de rebondissements.",""
"MED-135","FILM","Lady-Like",2018,6.1,"COMEDIE","États-Unis","Diego Morales",83,"","","","Dans ce film comedie, une famille aux liens complexes doit affronter des evenements qui bouleversent sa vie.",""
"MED-136","SERIE","Earth's Natural Wonders",2015,7.4,"DRAME","Royaume-Uni","Stefan Becker","",1,9,"TERMINEE","Cette production dramatique suit l'evolution de un groupe de personnages hauts en couleur episode apres episode.",""
"MED-137","FILM","Quién te cantará",2018,6.9,"DRAME","Espagne","Isabelle Moreau",125,"","","","Un film dramatique qui suit des amis dont les destins s'entremelent dans une histoire pleine de rebondissements.","Una Noche sin Fin"
"MED-138","SERIE","Baking Impossible",2021,7.0,"REALITE","États-Unis","Nathalie Petit","",1,8,"ANNULEE","Une serie de tele-realite qui explore le quotidien de un groupe de personnages hauts en couleur et ses secrets.",""
"MED-139","SERIE","The Boss Baby: Back in the Crib",2022,6.2,"ANIMATION","États-Unis","Emma Wilson","",1,11,"EN_COURS","Une serie d'animation qui explore le quotidien de une jeune femme qui decouvre un lourd secret et ses secrets.",""
"MED-140","SERIE","My Little Pony: Friendship Is Magic",2010,7.6,"COMEDIE","Canada","Javier Ruiz","",9,72,"TERMINEE","Cette serie comedie suit une jeune femme qui decouvre un lourd secret au fil de plusieurs saisons pleines de tensions.",""
"MED-141","FILM","A Perfect Ending",2012,8.8,"DRAME","États-Unis","Nicole Conn",110,"","","","Ce long-metrage dramatique raconte le parcours de un heros ordinaire plonge dans l'extraordinaire face a des choix difficiles.",""
"MED-142","FILM","Furtive",2020,5.1,"THRILLER","Argentine","Sophie Laurent",84,"","","","Ce long-metrage a suspense raconte le parcours de une jeune femme qui decouvre un lourd secret face a des choix difficiles.","La Travesia Prohibida"
"MED-143","FILM","Buddy Thunderstruck: The Maybe Pile",2017,8.4,"COMEDIE","États-Unis","Thomas Richter",13,"","","","Dans ce film comedie, un personnage principal en quete de verite doit affronter des evenements qui bouleversent sa vie.",""
"MED-144","FILM","LEGO DC Comics Super Heroes: Batman Be-Leaguered",2014,6.5,"ACTION","États-Unis","Camille Dubois",22,"","","","Un film action qui suit un groupe de personnages hauts en couleur dans une histoire pleine de rebondissements.",""
"MED-145","SERIE","This Is a Robbery: The World's Biggest Art Heist",2021,6.5,"CRIME","États-Unis","Sabine Hoffmann","",1,7,"ANNULEE","Cette production policier suit l'evolution de des amis dont les destins s'entremelent episode apres episode.",""
"MED-146","FILM","The Christmas Project",2016,7.5,"FAMILLE","États-Unis","Michael Buster",92,"","","","Une histoire familial centree sur un personnage principal en quete de verite, entre tension et emotion.",""
"MED-147","FILM","Clear and Present Danger",1994,7.1,"DRAME","États-Unis","Phillip Noyce",142,"","","","Un film dramatique qui suit deux rivaux contraints de collaborer dans une histoire pleine de rebondissements.",""
"MED-148","FILM","Road to Roma",2020,7.7,"DOCUMENTAIRE","Mexique","James Carter",73,"","","","Un recit documentaire intense mettant en scene un enqueteur determine a resoudre une affaire.","Las Alas del Destino"
"MED-149","FILM","NOVA: Bird Brain",2017,6.3,"FAMILLE","États-Unis","James Carter",53,"","","","Dans ce film familial, une jeune femme qui decouvre un lourd secret doit affronter des evenements qui bouleversent sa vie.",""
"MED-150","SERIE","Super Drags",2018,5.4,"ANIMATION","Bresil","Stefan Becker","",1,8,"EN_COURS","Cette serie d'animation suit une famille aux liens complexes au fil de plusieurs saisons pleines de tensions.","O Despertar da Areia"
"MED-151","FILM","Malicious",2018,7.8,"HORREUR","États-Unis","Michael Winnick",91,"","","","Un recit d'horreur intense mettant en scene des amis dont les destins s'entremelent.",""
"MED-152","FILM","The Lives of Others",2006,6.7,"DRAME","Allemagne","Florian Henckel von Donnersmarck",138,"","","","Ce long-metrage dramatique raconte le parcours de un heros ordinaire plonge dans l'extraordinaire face a des choix difficiles.","Das Leben der Anderen"
"MED-153","SERIE","Warrior",2018,6.7,"ACTION","Danemark","Miguel Torres","",1,12,"TERMINEE","Dans cette serie action, un heros ordinaire plonge dans l'extraordinaire navigue entre alliances et trahisons.",""
"MED-154","FILM","Blue Is the Warmest Color",2013,8.6,"DRAME","France","Abdellatif Kechiche",180,"","","","Un film dramatique qui suit un heros ordinaire plonge dans l'extraordinaire dans une histoire pleine de rebondissements.","La Vie d'Adele"
"MED-155","FILM","Below Zero",2021,6.2,"ACTION","Espagne","Laura Thompson",106,"","","","Dans ce film action, une communaute bouleversee par un evenement inattendu doit affronter des evenements qui bouleversent sa vie.","Una Vida por Reconstruir"
"MED-156","FILM","System Crasher",2019,7.8,"DRAME","Allemagne","Diego Morales",118,"","","","Un film dramatique qui suit un personnage principal en quete de verite dans une histoire pleine de rebondissements.","Systemsprenger"
"MED-157","FILM","Hachi: A Dog's Tale",2009,7.6,"FAMILLE","Royaume-Uni","Lasse Hallström",93,"","","","Un film familial qui suit un heros ordinaire plonge dans l'extraordinaire dans une histoire pleine de rebondissements.",""
"MED-158","FILM","Alpha and Omega",2010,5.1,"ANIMATION","Canada","Carlos Fernandez",88,"","","","Ce long-metrage d'animation raconte le parcours de une famille aux liens complexes face a des choix difficiles.",""
"MED-159","FILM","Carbon",2017,7.5,"DRAME","France","Olivier Marchal",104,"","","","Ce long-metrage dramatique raconte le parcours de des amis dont les destins s'entremelent face a des choix difficiles.",""
"MED-160","FILM","The Gospel of Luke",2015,7.3,"DRAME","États-Unis","David Batty",205,"","","","Une histoire dramatique centree sur des protagonistes confrontes a leur passe, entre tension et emotion.",""
"MED-161","FILM","Luccas Neto in: The End of Christmas",2019,6.6,"FAMILLE","Bresil","Lucas Margutti",71,"","","","Un film familial qui suit des protagonistes confrontes a leur passe dans une histoire pleine de rebondissements.",""
"MED-162","SERIE","Too Hot to Handle: Brazil",2021,5.4,"REALITE","Bresil","Francesca Romano","",1,9,"ANNULEE","Dans cette serie de tele-realite, un personnage principal en quete de verite navigue entre alliances et trahisons.","Uma Vida para Reconstruir"
"MED-163","SERIE","Power Rangers Operation Overdrive",2007,6.0,"FAMILLE","États-Unis","Julie Bernard","",1,8,"EN_COURS","Dans cette serie familial, une famille aux liens complexes navigue entre alliances et trahisons.",""
"MED-164","FILM","Friendsgiving",2020,4.4,"COMEDIE","États-Unis","Michael Bennett",95,"","","","Ce long-metrage comedie raconte le parcours de un personnage principal en quete de verite face a des choix difficiles.",""
"MED-165","SERIE","Transformers Rescue Bots Academy",2020,7.6,"FAMILLE","États-Unis","Andreas Fischer","",2,20,"TERMINEE","Un show familial captivant centre sur une jeune femme qui decouvre un lourd secret.",""
"MED-166","FILM","For Grace",2015,6.4,"DOCUMENTAIRE","États-Unis","Mark Helenowski",92,"","","","Ce long-metrage documentaire raconte le parcours de deux rivaux contraints de collaborer face a des choix difficiles.",""
"MED-167","FILM","Never Back Down",2008,8.5,"DRAME","États-Unis","Jeff Wadlow",113,"","","","Un recit dramatique intense mettant en scene des amis dont les destins s'entremelent.",""
"MED-168","SERIE","Friends",2003,7.7,"COMEDIE","États-Unis","Javier Ruiz","",10,80,"ANNULEE","Cette production comedie suit l'evolution de des amis dont les destins s'entremelent episode apres episode.",""
"MED-169","SERIE","Creeped Out",2017,6.6,"THRILLER","Canada","Robert Anderson","",2,12,"EN_COURS","Une serie a suspense qui explore le quotidien de des amis dont les destins s'entremelent et ses secrets.",""
"MED-170","FILM","Siren",2016,7.2,"HORREUR","États-Unis","Gregg Bishop",83,"","","","Un recit d'horreur intense mettant en scene une famille aux liens complexes.",""
"MED-171","SERIE","The Five Juanas",2021,6.9,"DRAME","Mexique","Giulia Marchetti","",1,12,"TERMINEE","Cette serie dramatique suit un groupe de personnages hauts en couleur au fil de plusieurs saisons pleines de tensions.","Las Voces del Silencio"
"MED-172","FILM","Pan",2015,5.7,"ACTION","États-Unis","David Wright",111,"","","","Ce long-metrage action raconte le parcours de un groupe de personnages hauts en couleur face a des choix difficiles.",""
"MED-173","FILM","Breath",2018,8.5,"DRAME","Australie","Simon Baker",116,"","","","Ce long-metrage dramatique raconte le parcours de un enqueteur determine a resoudre une affaire face a des choix difficiles.",""
"MED-174","FILM","Raw",2016,7.0,"HORREUR","France","Elena Garcia",99,"","","","Dans ce film d'horreur, une communaute bouleversee par un evenement inattendu doit affronter des evenements qui bouleversent sa vie.","Grave"
"MED-175","SERIE","Forces of Nature",2016,8.7,"DRAME","Royaume-Uni","Giulia Marchetti","",1,8,"ANNULEE","Dans cette serie dramatique, des amis dont les destins s'entremelent navigue entre alliances et trahisons.",""
"MED-176","SERIE","Documentary Now!",2019,8.0,"COMEDIE","États-Unis","Emma Wilson","",3,21,"EN_COURS","Une serie comedie qui explore le quotidien de des amis dont les destins s'entremelent et ses secrets.",""
"MED-177","FILM","This Changes Everything",2019,7.6,"DOCUMENTAIRE","États-Unis","Paolo Conti",97,"","","","Une histoire documentaire centree sur des amis dont les destins s'entremelent, entre tension et emotion.",""
"MED-178","FILM","Tracers",2015,6.3,"ACTION","États-Unis","Daniel Benmayor",94,"","","","Un film action qui suit des amis dont les destins s'entremelent dans une histoire pleine de rebondissements.",""
"MED-179","FILM","LEGO Marvel Super Heroes: Black Panther - Trouble in Wakanda",2018,5.6,"FANTASTIQUE","États-Unis","Sophie Laurent",22,"","","","Une histoire fantastique centree sur un groupe de personnages hauts en couleur, entre tension et emotion.",""
"MED-180","FILM","The Competition",2018,6.8,"COMEDIE","États-Unis","Harvey Lowry",103,"","","","Dans ce film comedie, une jeune femme qui decouvre un lourd secret doit affronter des evenements qui bouleversent sa vie.",""
"MED-181","FILM","Vivo",2021,6.7,"FAMILLE","États-Unis","Carlos Fernandez",103,"","","","Ce long-metrage familial raconte le parcours de un groupe de personnages hauts en couleur face a des choix difficiles.",""
"MED-182","SERIE","Beyond Stranger Things",2017,7.4,"DOCUMENTAIRE","États-Unis","Stefan Becker","",1,7,"TERMINEE","Dans cette serie documentaire, une famille aux liens complexes navigue entre alliances et trahisons.",""
"MED-183","FILM","The Skin of the Wolf",2018,5.8,"ROMANCE","Espagne","Laura Thompson",110,"","","","Un film romantique qui suit un personnage principal en quete de verite dans une histoire pleine de rebondissements.","El Peso de los Recuerdos"
"MED-184","FILM","Friends with Money",2006,5.8,"COMEDIE","États-Unis","Thomas Richter",88,"","","","Un film comedie qui suit deux rivaux contraints de collaborer dans une histoire pleine de rebondissements.",""
"MED-185","FILM","The Price of Success",2017,5.7,"DRAME","France","Klaus Weber",92,"","","","Dans ce film dramatique, une communaute bouleversee par un evenement inattendu doit affronter des evenements qui bouleversent sa vie.","Les Heritiers Perdus"
"MED-186","SERIE","Gotham",2014,7.8,"DRAME","États-Unis","Stefan Becker","",5,45,"ANNULEE","Une serie dramatique qui explore le quotidien de des amis dont les destins s'entremelent et ses secrets.",""
"MED-187","FILM","Silver Linings Playbook",2012,7.1,"COMEDIE","États-Unis","David O. Russell",122,"","","","Un film comedie qui suit des protagonistes confrontes a leur passe dans une histoire pleine de rebondissements.",""
"MED-188","FILM","Monster-in-Law",2005,7.8,"COMEDIE","États-Unis","Robert Luketic",101,"","","","Une histoire comedie centree sur un enqueteur determine a resoudre une affaire, entre tension et emotion.",""
"MED-189","FILM","Williams",2017,8.9,"DOCUMENTAIRE","Royaume-Uni","Morgan Matthews",105,"","","","Un film documentaire qui suit des protagonistes confrontes a leur passe dans une histoire pleine de rebondissements.",""
"MED-190","SERIE","Call My Agent!",2015,8.3,"COMEDIE","France","Javier Ruiz","",4,32,"EN_COURS","Une serie comedie qui explore le quotidien de une famille aux liens complexes et ses secrets.","Dix pour cent"
"MED-191","FILM","The Duel",2016,7.4,"DRAME","États-Unis","Kieran Darcy-Smith",110,"","","","Un film dramatique qui suit une famille aux liens complexes dans une histoire pleine de rebondissements.",""
"MED-192","FILM","Rampage: President Down",2016,6.4,"DRAME","Canada","Uwe Boll",100,"","","","Un film dramatique qui suit une jeune femme qui decouvre un lourd secret dans une histoire pleine de rebondissements.",""
"MED-193","FILM","Unchained: The Untold Story of Freestyle Motocross",2016,5.9,"DOCUMENTAIRE","États-Unis","Paul Taublieb",92,"","","","Un recit documentaire intense mettant en scene des protagonistes confrontes a leur passe.",""
"MED-194","FILM","Breaking Boundaries: The Science of Our Planet",2021,7.8,"DOCUMENTAIRE","États-Unis","Laura Thompson",73,"","","","Une histoire documentaire centree sur des protagonistes confrontes a leur passe, entre tension et emotion.",""
"MED-195","SERIE","A Sinister Sect: Colonia Dignidad",2021,7.1,"DOCUMENTAIRE","Allemagne","Nathalie Petit","",1,12,"TERMINEE","Dans cette serie documentaire, un heros ordinaire plonge dans l'extraordinaire navigue entre alliances et trahisons.","Eine Nacht ohne Ende"
"MED-196","FILM","27: Gone Too Soon",2017,6.3,"DOCUMENTAIRE","Royaume-Uni","Simon Napier-Bell",70,"","","","Une histoire documentaire centree sur deux rivaux contraints de collaborer, entre tension et emotion.",""
"MED-197","FILM","Equals",2015,5.5,"DRAME","États-Unis","Drake Doremus",102,"","","","Une histoire dramatique centree sur des amis dont les destins s'entremelent, entre tension et emotion.",""
"MED-198","SERIE","The Vietnam War: A Film by Ken Burns and Lynn Novick",2017,5.5,"DRAME","États-Unis","Ken Burns","",1,7,"ANNULEE","Cette production dramatique suit l'evolution de des protagonistes confrontes a leur passe episode apres episode.",""
"MED-199","FILM","City of God: 10 Years Later",2013,6.4,"DOCUMENTAIRE","Bresil","Jean Dupont",69,"","","","Un film documentaire qui suit une jeune femme qui decouvre un lourd secret dans une histoire pleine de rebondissements.","O Sussurro dos Ausentes"
"MED-200","SERIE","Marcella",2016,7.4,"CRIME","Royaume-Uni","Lucia Fernandez","",3,30,"EN_COURS","Cette production policier suit l'evolution de un personnage principal en quete de verite episode apres episode.",""
"MED-201","FILM","JJ+E",2021,5.3,"DRAME","Suede","Camille Dubois",90,"","","","Dans ce film dramatique, une communaute bouleversee par un evenement inattendu doit affronter des evenements qui bouleversent sa vie.",""
"MED-202","FILM","Population 436",2006,7.9,"HORREUR","Canada","Michelle MacLaren",93,"","","","Dans ce film d'horreur, une famille aux liens complexes doit affronter des evenements qui bouleversent sa vie.",""
"MED-203","FILM","The Invisible Guest",2016,6.7,"DRAME","Espagne","Paulo Oriol",106,"","","","Un recit dramatique intense mettant en scene un groupe de personnages hauts en couleur.","Contratiempo"
"MED-204","FILM","Still Out of My League",2021,5.5,"ROMANCE","Italie","Marco Rossi",113,"","","","Un recit romantique intense mettant en scene un heros ordinaire plonge dans l'extraordinaire.","Una Notte Senza Fine"
"MED-205","FILM","This Little Love of Mine",2021,5.3,"ROMANCE","Australie","Camille Dubois",91,"","","","Un recit romantique intense mettant en scene un enqueteur determine a resoudre une affaire.",""
"MED-206","FILM","The Platform",2019,7.0,"THRILLER","Espagne","Diego Morales",95,"","","","Ce long-metrage a suspense raconte le parcours de un personnage principal en quete de verite face a des choix difficiles.","El Hoyo"
"MED-207","FILM","The Privilege",2022,4.6,"THRILLER","Allemagne","Klaus Weber",107,"","","","Ce long-metrage a suspense raconte le parcours de un enqueteur determine a resoudre une affaire face a des choix difficiles.","Die Verlorenen Erben"
"MED-208","SERIE","The Chosen One",2019,5.7,"THRILLER","Bresil","Julie Bernard","",2,18,"TERMINEE","Cette production a suspense suit l'evolution de une communaute bouleversee par un evenement inattendu episode apres episode.","A Promessa Quebrada"
"MED-209","FILM","Traitor",2008,9.0,"DRAME","États-Unis","Jeffrey Nachmanoff",114,"","","","Un film dramatique qui suit une famille aux liens complexes dans une histoire pleine de rebondissements.",""
"MED-210","FILM","Cabin Fever",2016,5.5,"HORREUR","États-Unis","Travis Zariwny",98,"","","","Dans ce film d'horreur, une communaute bouleversee par un evenement inattendu doit affronter des evenements qui bouleversent sa vie.",""
"MED-211","FILM","The Son",2019,8.6,"THRILLER","Argentine","Laura Thompson",92,"","","","Une histoire a suspense centree sur un heros ordinaire plonge dans l'extraordinaire, entre tension et emotion.","El Canto de los Origenes"
"MED-212","SERIE","Haunted",2018,4.6,"DOCUMENTAIRE","États-Unis","Robert Anderson","",3,33,"ANNULEE","Dans cette serie documentaire, un groupe de personnages hauts en couleur navigue entre alliances et trahisons.",""
"MED-213","FILM","Nazi Concentration Camps",2001,8.2,"DRAME","États-Unis","George Stevens",59,"","","","Un recit dramatique intense mettant en scene des amis dont les destins s'entremelent.",""
"MED-214","SERIE","The Hunt",2015,7.1,"DRAME","Royaume-Uni","Andreas Fischer","",1,10,"EN_COURS","Cette serie dramatique suit un groupe de personnages hauts en couleur au fil de plusieurs saisons pleines de tensions.","Jagten"
"MED-215","SERIE","Challenger: The Final Flight",2020,7.8,"DOCUMENTAIRE","États-Unis","Javier Ruiz","",1,12,"TERMINEE","Un show documentaire captivant centre sur un groupe de personnages hauts en couleur.",""
"MED-216","SERIE","El Barco",2013,5.8,"DRAME","Espagne","Nathalie Petit","",3,21,"ANNULEE","Un show dramatique captivant centre sur un heros ordinaire plonge dans l'extraordinaire.",""
"MED-217","SERIE","High on the Hog: How African American Cuisine Transformed America",2021,7.5,"DOCUMENTAIRE","États-Unis","Lucia Fernandez","",1,9,"EN_COURS","Une serie documentaire qui explore le quotidien de une communaute bouleversee par un evenement inattendu et ses secrets.",""
"MED-218","FILM","Jonah",2016,5.4,"DRAME","Bresil","Carlos Fernandez",97,"","","","Un film dramatique qui suit un groupe de personnages hauts en couleur dans une histoire pleine de rebondissements.","O Silencio dos Culpados"
"MED-219","FILM","Beckett",2021,5.6,"CRIME","Italie","Luca Ferrari",109,"","","","Un film policier qui suit un enqueteur determine a resoudre une affaire dans une histoire pleine de rebondissements.","La Notte dei Vinti"
"MED-220","FILM","Bad Grandpa .5",2014,6.7,"COMEDIE","États-Unis","Jeff Tremaine",87,"","","","Un film comedie qui suit un enqueteur determine a resoudre une affaire dans une histoire pleine de rebondissements.",""
"MED-221","SERIE","The Mess You Leave Behind",2020,6.7,"CRIME","Espagne","Claire Martin","",1,10,"TERMINEE","Dans cette serie policier, deux rivaux contraints de collaborer navigue entre alliances et trahisons.","Una Noche sin Fin"
"MED-222","FILM","American Beauty",1999,8.2,"DRAME","États-Unis","Sam Mendes",122,"","","","Un film dramatique qui suit un groupe de personnages hauts en couleur dans une histoire pleine de rebondissements.",""
"MED-223","FILM","Rose Island",2020,7.0,"DRAME","Italie","Carlos Fernandez",117,"","","","Ce long-metrage dramatique raconte le parcours de des protagonistes confrontes a leur passe face a des choix difficiles.","Il Patto delle Ombre"
"MED-224","SERIE","The Beginning of Life: The Series",2016,7.8,"DRAME","Bresil","Estela Renner","",1,11,"ANNULEE","Cette production dramatique suit l'evolution de des protagonistes confrontes a leur passe episode apres episode.",""
"MED-225","SERIE","Emily's Wonder Lab",2020,7.4,"FAMILLE","États-Unis","Julie Bernard","",1,11,"EN_COURS","Un show familial captivant centre sur une communaute bouleversee par un evenement inattendu.",""
"MED-226","FILM","Boi",2019,7.1,"THRILLER","Espagne","Marco Rossi",111,"","","","Un film a suspense qui suit des protagonistes confrontes a leur passe dans une histoire pleine de rebondissements.","La Sombra del Pasado"
"MED-227","FILM","My Life as a Zucchini",2016,8.2,"COMEDIE","Suisse","Claude Barras",68,"","","","Une histoire comedie centree sur deux rivaux contraints de collaborer, entre tension et emotion.","Ma vie de Courgette"
"MED-228","SERIE","Luna Nera",2020,5.9,"DRAME","Italie","Julie Bernard","",1,6,"TERMINEE","Dans cette serie dramatique, des protagonistes confrontes a leur passe navigue entre alliances et trahisons.","Il Sussurro degli Assenti"
"MED-229","FILM","5 Flights Up",2014,6.6,"COMEDIE","États-Unis","Richard Loncraine",92,"","","","Dans ce film comedie, un groupe de personnages hauts en couleur doit affronter des evenements qui bouleversent sa vie.",""
"MED-230","SERIE","Mystery Science Theater 3000: The Return",2018,8.6,"COMEDIE","États-Unis","Miguel Torres","",2,16,"ANNULEE","Un show comedie captivant centre sur deux rivaux contraints de collaborer.",""
"MED-231","FILM","The Guns of Navarone",1961,7.5,"ACTION","Royaume-Uni","Laura Thompson",158,"","","","Ce long-metrage action raconte le parcours de un personnage principal en quete de verite face a des choix difficiles.",""
"MED-232","SERIE","Suburra: Blood on Rome",2017,7.9,"DRAME","Italie","Emma Wilson","",3,21,"EN_COURS","Un show dramatique captivant centre sur une communaute bouleversee par un evenement inattendu.","Suburra"
"MED-233","FILM","Room for Rent",2017,8.3,"COMEDIE","Canada","Matthew Atkinson",89,"","","","Ce long-metrage comedie raconte le parcours de des amis dont les destins s'entremelent face a des choix difficiles.",""
"MED-234","FILM","Reggie Watts: Spatial",2016,6.0,"COMEDIE","États-Unis","Carlos Fernandez",61,"","","","Une histoire comedie centree sur des protagonistes confrontes a leur passe, entre tension et emotion.",""
"MED-235","FILM","Good Sam",2019,5.7,"ROMANCE","États-Unis","Paolo Conti",90,"","","","Un recit romantique intense mettant en scene une communaute bouleversee par un evenement inattendu.",""
"MED-236","FILM","Me Against You: Mr. S's Vendetta",2020,1.6,"COMEDIE","Italie","David Wright",64,"","","","Un film comedie qui suit un heros ordinaire plonge dans l'extraordinaire dans une histoire pleine de rebondissements.","Il Silenzio dei Colpevoli"
"MED-237","SERIE","The Platform",2018,5.4,"MUSICAL","Espagne","Nathalie Petit","",2,14,"TERMINEE","Un show musical captivant centre sur un heros ordinaire plonge dans l'extraordinaire.","El Hoyo"
"MED-238","FILM","#AnneFrank. Parallel Stories",2019,6.5,"DRAME","Italie","Luca Ferrari",92,"","","","Un film dramatique qui suit des protagonistes confrontes a leur passe dans une histoire pleine de rebondissements.","Le Ali del Destino"
"MED-239","FILM","Memories of a Murderer: The Nilsen Tapes",2021,6.3,"DOCUMENTAIRE","Royaume-Uni","Marco Rossi",84,"","","","Un recit documentaire intense mettant en scene des protagonistes confrontes a leur passe.",""
"MED-240","FILM","Super Monsters Save Christmas",2019,4.8,"FAMILLE","États-Unis","Michael Bennett",24,"","","","Ce long-metrage familial raconte le parcours de un groupe de personnages hauts en couleur face a des choix difficiles.",""
"MED-241","SERIE","Octonauts",2010,7.6,"ACTION","Royaume-Uni","Robert Anderson","",7,77,"ANNULEE","Cette production action suit l'evolution de deux rivaux contraints de collaborer episode apres episode.",""
"MED-242","FILM","Fate: The Winx Saga - The Afterparty",2021,6.2,"FANTASTIQUE","Royaume-Uni","Ana Silva",50,"","","","Un film fantastique qui suit un personnage principal en quete de verite dans une histoire pleine de rebondissements.",""
"MED-243","FILM","Prince of Peoria: A Christmas Moose Miracle",2018,7.9,"FAMILLE","États-Unis","Jon Rosenbaum",29,"","","","Ce long-metrage familial raconte le parcours de un groupe de personnages hauts en couleur face a des choix difficiles.",""
"MED-244","FILM","The Devil All the Time",2020,7.1,"CRIME","États-Unis","Diego Morales",138,"","","","Une histoire policier centree sur des amis dont les destins s'entremelent, entre tension et emotion.",""
"MED-245","FILM","K-19: The Widowmaker",2002,8.5,"DRAME","Royaume-Uni","Kathryn Bigelow",138,"","","","Une histoire dramatique centree sur une jeune femme qui decouvre un lourd secret, entre tension et emotion.",""
"MED-246","SERIE","Versailles",2015,7.9,"DRAME","Canada","Lucia Fernandez","",3,27,"EN_COURS","Cette production dramatique suit l'evolution de un enqueteur determine a resoudre une affaire episode apres episode.",""
"MED-247","FILM","Sunday's Illness",2018,6.9,"DRAME","Espagne","Laura Thompson",113,"","","","Dans ce film dramatique, un enqueteur determine a resoudre une affaire doit affronter des evenements qui bouleversent sa vie.","La Travesia Prohibida"
"MED-248","FILM","Bird Box",2018,6.6,"THRILLER","États-Unis","Luca Ferrari",124,"","","","Une histoire a suspense centree sur une jeune femme qui decouvre un lourd secret, entre tension et emotion.",""
"MED-249","SERIE","History's Greatest Hoaxes",2016,6.9,"DRAME","Australie","Claire Martin","",1,8,"TERMINEE","Dans cette serie dramatique, une famille aux liens complexes navigue entre alliances et trahisons.",""
"MED-250","FILM","Expedition Happiness",2017,5.9,"DOCUMENTAIRE","Allemagne","Isabelle Moreau",95,"","","","Une histoire documentaire centree sur un groupe de personnages hauts en couleur, entre tension et emotion.","Die Nacht der Besiegten"
"MED-251","FILM","The Heartbreak Kid",2007,6.6,"COMEDIE","États-Unis","Bobby Farrelly",116,"","","","Un recit comedie intense mettant en scene un enqueteur determine a resoudre une affaire.",""
"MED-252","FILM","Christmas Inheritance",2017,5.7,"ROMANCE","États-Unis","Ana Silva",105,"","","","Un recit romantique intense mettant en scene une communaute bouleversee par un evenement inattendu.",""
"MED-253","FILM","The Last Mercenary",2021,5.3,"ACTION","France","Elena Garcia",110,"","","","Une histoire action centree sur une jeune femme qui decouvre un lourd secret, entre tension et emotion.","Le Silence des Coupables"
"MED-254","FILM","Black Beach",2020,5.6,"DRAME","États-Unis","David Wright",115,"","","","Un recit dramatique intense mettant en scene un personnage principal en quete de verite.",""
"MED-255","FILM","Bomb Scared",2017,5.6,"COMEDIE","Espagne","Carlos Fernandez",89,"","","","Dans ce film comedie, un personnage principal en quete de verite doit affronter des evenements qui bouleversent sa vie.","El Ultimo Refugio"
"MED-256","FILM","Sabotage",2014,8.2,"DRAME","États-Unis","David Ayer",109,"","","","Dans ce film dramatique, un personnage principal en quete de verite doit affronter des evenements qui bouleversent sa vie.",""
"MED-257","FILM","The House of Flowers: The Movie",2021,5.5,"DRAME","Mexique","Anna Bianchi",86,"","","","Une histoire dramatique centree sur deux rivaux contraints de collaborer, entre tension et emotion.","La Casa de las Flores: La Pelicula"
"MED-258","FILM","Atlas Shrugged: Part II",2012,9.0,"DRAME","États-Unis","John Putch",112,"","","","Un recit dramatique intense mettant en scene une jeune femme qui decouvre un lourd secret.",""
"MED-259","FILM","Pineapple Express",2008,7.3,"COMEDIE","États-Unis","David Gordon Green",112,"","","","Dans ce film comedie, des amis dont les destins s'entremelent doit affronter des evenements qui bouleversent sa vie.",""
"MED-260","FILM","Wind River",2017,7.7,"THRILLER","France","Diego Morales",107,"","","","Un recit a suspense intense mettant en scene un heros ordinaire plonge dans l'extraordinaire.","Une Saison en Enfer Blanc"
"MED-261","FILM","Goldstone",2016,7.3,"THRILLER","Australie","Ivan Sen",110,"","","","Un film a suspense qui suit un personnage principal en quete de verite dans une histoire pleine de rebondissements.",""
"MED-262","SERIE","Queen of the South",2016,7.9,"DRAME","États-Unis","Robert Anderson","",5,40,"ANNULEE","Cette serie dramatique suit un groupe de personnages hauts en couleur au fil de plusieurs saisons pleines de tensions.",""
"MED-263","SERIE","Criminal: UK",2019,7.6,"CRIME","Royaume-Uni","Stefan Becker","",2,18,"EN_COURS","Une serie policier qui explore le quotidien de un personnage principal en quete de verite et ses secrets.",""
"MED-264","FILM","The Desert Bride",2017,7.1,"DRAME","Argentine","Cecilia Atán",78,"","","","Un film dramatique qui suit une jeune femme qui decouvre un lourd secret dans une histoire pleine de rebondissements.",""
"MED-265","SERIE","A Perfect Crime",2020,7.3,"DOCUMENTAIRE","Allemagne","Javier Ruiz","",1,7,"TERMINEE","Une serie documentaire qui explore le quotidien de une jeune femme qui decouvre un lourd secret et ses secrets.","Das Geheimnis der Ursprunge"
"MED-266","SERIE","Teresa",2010,6.3,"DRAME","Mexique","Roberto Colombo","",1,9,"ANNULEE","Dans cette serie dramatique, une famille aux liens complexes navigue entre alliances et trahisons.",""
"MED-267","FILM","Get the Goat",2021,6.0,"COMEDIE","Bresil","Jean Dupont",105,"","","","Un film comedie qui suit deux rivaux contraints de collaborer dans une histoire pleine de rebondissements.","A Noite dos Vencidos"
"MED-268","FILM","The Invisible Guardian",2017,6.4,"THRILLER","Allemagne","Sarah Mitchell",129,"","","","Ce long-metrage a suspense raconte le parcours de deux rivaux contraints de collaborer face a des choix difficiles.","El Guardian Invisible"
